,P1,P10,P2,P3,P4,P5,P6,P7,P8,P9
ENSMUSG00000032528,1542,970,3007,1173,1405,1100,846,824,887,580
ENSMUSG00000032530,0,3,0,1,0,0,0,1,0,0
ENSMUSG00000032531,134,347,187,266,374,224,318,200,232,237
ENSMUSG00000032532,375,31,892,128,104,171,19,3,13,0
ENSMUSG00000032534,169,373,195,215.0002761,318,266.0000898,300,214,274,259
ENSMUSG00000032536,1226.046283,1095.145188,1822.10068,1003,1428.039422,1172.076291,998.1735503,858.0203828,979,791.0417008
ENSMUSG00000032537,0,4.578420804,2,2,10,8,9,7,7,3
ENSMUSG00000032540,247,350,378,247,374,323,227,265,258,208
ENSMUSG00000032547,416,692,725,607,821,623,560,541,655,551
ENSMUSG00000032548,526.402626,410.7699567,664.1746026,382.1505129,484.8468416,396.2671347,389.8345483,345.0834817,297.2365734,272.2242482
ENSMUSG00000032549,199,965,140,597,602,435,715,789,711,512
ENSMUSG00000032551,131.0002347,125,251,112,168,150.0003826,104,91.32426945,106.0003059,97.64325736
ENSMUSG00000032553,799,1430.004953,866,1173,1900,1488,1292,1171,1144,955
ENSMUSG00000032554,270,670,102,326.1217398,587.0186817,897.0119197,748.3015259,231.1126699,351,415
ENSMUSG00000032555,547.167145,322.6344937,661.1134806,348.3804217,341.0085137,304.0737609,232.7984498,224.8202381,243.8180729,222.128634
ENSMUSG00000032556,19,7,0,11,6,29,2,2,3,6
ENSMUSG00000032557,743.9023115,1310.015973,745.3392307,830,1551,1164.001807,1200,1043.325989,1041.646124,1074.141309
ENSMUSG00000032558,35.21878692,73,78,49,78.00156398,42.00153421,56.87752853,56,47,53
ENSMUSG00000032560,1223,1204,1600,1138,1329,974,873,889,1112,859
ENSMUSG00000032561,214.0028603,33,380.0011885,66,46,70.00187469,12.22251223,7.002740373,14.00626,13
ENSMUSG00000032562,3146.025146,4127.044313,2712.151764,3438.019911,4718.001153,4739,3695.013232,2917,3261.029377,2894.016804
ENSMUSG00000032563,316.0200587,350.0785605,558.0003794,330.0003689,405.927638,451,276.0019366,284.0006578,319.0023066,252.0001827
ENSMUSG00000032564,2,68,10,70,106,55,52,58,75,72
ENSMUSG00000032565,165.1606111,156,192.0891083,172,257,223,148,132,139,132
ENSMUSG00000032566,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000032567,103,84,126,77,78,69,74,47.05097517,58,71
ENSMUSG00000032570,688,2260,942,1542,1942,1460,1642,1676,2143,1693
ENSMUSG00000032571,304,708,400,545,754,612,544,550,570,464
ENSMUSG00000032572,26,7,24,6,20,36,9,2,1,4
ENSMUSG00000032575,1973,2747,2141,2424,4837,4193,3427,2593,2576,2490
ENSMUSG00000032577,340,261,485,218,244,245,205,173,201,192
ENSMUSG00000032578,131.0010033,164.0028374,146.7925518,251.0006392,199.0015757,252.00085,273.0018423,140.000637,155.0006438,420.0015199
ENSMUSG00000032579,60,130,65,79,161,114,123,111,96,87
ENSMUSG00000032580,944,1396,1160.003024,1084.002766,1374,1112.005068,1009.002294,1108.713376,1080,1038
ENSMUSG00000032582,614.2442741,813.0009272,823.0432269,640.0033123,726.0446203,699.9908935,687.0002063,587.9643734,657.0251939,646.002663
ENSMUSG00000032583,376,271,638,272,354,288,255,202,203,190
ENSMUSG00000032584,370,22,692,118,94,135,14,3,8,10
ENSMUSG00000032586,44,9,72,18,18,29,8,11,12,10
ENSMUSG00000032589,65.050621,534.417073,173,342,619,230,463,487.4780211,562.7599554,354.4836046
ENSMUSG00000032590,1196,634,1494.322458,709,765,823,594,493,567,525
ENSMUSG00000032591,12,0,1,5,4,4,4,1,2,2
ENSMUSG00000032593,58,97,98,131,191,157,94,101,85,58
ENSMUSG00000032594,1132.020531,2428.675638,1572.551407,1877.334969,2776.632862,1904.883169,2191.659515,1832.455512,1950.657693,1891.063998
ENSMUSG00000032595,0,2,1,1,4,0,0,0,1,1
ENSMUSG00000032596,663,200,852,352,307,349,128,101,100,141
ENSMUSG00000032598,123,328,156,264,341,264,256,226,252,188
ENSMUSG00000032599,415,2012,903,1281,1852,1510,2528,2045,2035,2182
ENSMUSG00000032601,2054,632,3360,906,882,787,419,409,552,476
ENSMUSG00000032602,838.0428116,253.1225531,1400.206656,407.9084307,365.2504828,485.2685816,227.2146079,221.5627961,242,181.1815635
ENSMUSG00000032604,1285.389715,765.7065852,2053.337361,851.7009077,993.915633,1020,702.3409171,578.5736317,649.2758823,657.9668232
ENSMUSG00000032606,59,252,81,178,274,234,213,179,189,167
ENSMUSG00000032607,56.01453243,140.188877,84.44493332,90.02411729,131,113.1092962,109,81,60.09013623,88.05597503
ENSMUSG00000032609,43.00039588,253.4396742,82.08146038,199.0011918,278.0035082,259.0011258,195.1558453,166.2242438,201.0978592,125.0679174
ENSMUSG00000032611,10,11,7,12,14,10,15,4,5,10
ENSMUSG00000032612,1054.000149,972.0011023,1565,836,1202.35748,1051.153209,974.0189251,760.1656337,810,791.2414845
ENSMUSG00000032615,140,221,235,177,294,216,209,146,157,156
ENSMUSG00000032621,399.047202,828.0428994,467.0353435,623.1013473,730.0337876,503.4136199,651.1254011,643.0473235,608.4839683,541.0403602
ENSMUSG00000032623,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000032624,798,399,1368,519,417,505,302,239,313,281
ENSMUSG00000032625,19.00018444,25.00021665,13.00008435,24.00033524,35.00073675,26.00046297,19.00034005,22.00075997,16.0002634,21.00046101
ENSMUSG00000032633,288.4811341,1038,427,834,1143.869226,783,1030,874,808,700
ENSMUSG00000032637,1549,2271,1582,1387,2282,1431,1778,1775,1473,1745
ENSMUSG00000032640,164,103,54,103,93,124,65,53,51,74
ENSMUSG00000032641,48,79,58,60,111,97,105,74,63,53
ENSMUSG00000032643,36,14,7,12.04148761,10,26,46.01297738,20.00309804,13,37
ENSMUSG00000032648,17,14,8,5,15,24,10,8,11,12
ENSMUSG00000032649,4,52,18,36,63,61,38,47,48,41
ENSMUSG00000032652,289,577,300,478,714,491,543,484,495.0046732,455
ENSMUSG00000032656,22,143,20,89,165,123,82,86,125,63
ENSMUSG00000032657,284,363,78,237,309,260,266,266,230,189
ENSMUSG00000032661,154,20.02561448,2118.975355,354,194.0296238,249.4060044,50,15.750121,16,14.02127982
ENSMUSG00000032666,153.0039566,103.9680354,92.00285386,99.00191109,101.049348,99.0428151,75.00178653,77.19185143,77.95312926,80.0173079
ENSMUSG00000032667,1563.490744,412.59709,1946.669376,601.200871,589.573534,722.2185172,450.061737,285.1021106,415.4229604,347.3725333
ENSMUSG00000032671,0,1,0,0,1,0,0,0,1,0
ENSMUSG00000032673,99.02564894,148,119.0455782,112.0330979,182.0477884,173,112.1440059,119.0429924,120,101
ENSMUSG00000032679,127.0125495,583.2201131,212.0285347,442,793.1855231,673.067617,578.0298992,490.0310566,569.1239992,447.1872158
ENSMUSG00000032680,1,2,1,4,8,4,6,4,1,2
ENSMUSG00000032688,525.0626453,318,226.7635006,296.0563386,220.329886,305.1359095,169.0857934,154.0181551,195.5256557,176.1017975
ENSMUSG00000032690,54,30,1286,179,133,155,68,53,41,35
ENSMUSG00000032691,4,14,2,9,8,14,26,7,8,17
ENSMUSG00000032698,153,114,28,113,70,152,48,52,41,70
ENSMUSG00000032702,123,333,242,229,365,199,249,232,236,234
ENSMUSG00000032705,215,465,240.555152,314.2523876,473.5622031,291.2383313,335.070708,328.5129194,300,323
ENSMUSG00000032712,392.9154941,337,326.9603303,251.0672459,317.162069,264.0806691,277,238.200356,244,333.0312927
ENSMUSG00000032714,40,51,14,28,50,51,68,31,26,77
ENSMUSG00000032715,47,142,62,111,139,107,175,132,115,98
ENSMUSG00000032717,5,14,6,8,10,12,5,8,9,5
ENSMUSG00000032718,168,110,368,181,170,145,129,107,117,89
ENSMUSG00000032719,1,2,4,8,12,5,3,4,6,4
ENSMUSG00000032724,149,55,44,63,63,51,68,38,59,78
ENSMUSG00000032725,8,109,7,70,58,88,202,38,81,95
ENSMUSG00000032726,10,9,47,8,27.88913455,9,1,0,0,0
ENSMUSG00000032727,184,297.0210429,259,195,271,178,191,228,247,226
ENSMUSG00000032733,144,202,92,155,226,156,183,130,179,171
ENSMUSG00000032735,28,62,15,48,37,30,72,46,38,43
ENSMUSG00000032737,876,1318,1462,936,1220,840,991,937,1102,1002
ENSMUSG00000032739,5,5.887070216,7,0,8,0,8.091598244,2.33E-06,0,0
ENSMUSG00000032740,161,563,114,423,512,232,389,418,580,404
ENSMUSG00000032741,677,689,878,566.7871974,824,555.6091351,542,411,434,395
ENSMUSG00000032743,353.0159377,562.0897113,583.1462872,421.0131236,662.0186626,376.0260182,437.2093132,390.1452272,419.0006784,431.0064602
ENSMUSG00000032744,30,68,33,37,63,45,63,79,52,66
ENSMUSG00000032745,1149,1423.245265,1163.117224,1198.652187,1423.76387,1264.444803,1048,1146.229249,1322.726961,1214
ENSMUSG00000032750,33.69000835,18.71641705,5,13.00157896,19,13.26730893,7.001687657,15,12.2596942,12
ENSMUSG00000032754,132.1503996,142.3315893,49.02048814,91,110.0224739,154.0084327,129,62.67164699,82.00972786,117
ENSMUSG00000032757,672,591,781,513,987,757,624,581,609,502
ENSMUSG00000032758,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000032763,562,169,893,248,251,360,155,113,134,107
ENSMUSG00000032766,67,28,60,29,54,58,43,16,24,27
ENSMUSG00000032769,62,37,262,39,33,44,23,15,21,26
ENSMUSG00000032773,20,16.04789315,63.17426598,15.00040347,21.0002768,20.00060944,15.00013706,16,10,8.194407806
ENSMUSG00000032776,105,49,96,70,75,50,36,42,58,90
ENSMUSG00000032777,1079,1460.001728,1524,1139,1607.000143,1246,1154,1187,1409.000305,1008
ENSMUSG00000032782,126,279,211,155,259,243,200,171,149,144
ENSMUSG00000032783,49,15,51,19,15,27,10,13,16,4
ENSMUSG00000032786,1086,320,1543,480,468,605,317,245,295,183
ENSMUSG00000032788,943.0526923,503.1858295,1721.070257,676.9987277,740.9420416,645.0194943,478.0076207,332.8764924,426.0281404,327
ENSMUSG00000032796,3,0,0,2,1,4,4,0,0,0
ENSMUSG00000032802,1270,706,1919,784,1189,1008,713,594,556,393
ENSMUSG00000032803,1672.927217,1161.929223,1830,1122.76622,1233.918977,1095.927098,1030,783.9612313,947.9134456,1141.888098
ENSMUSG00000032806,141.0071833,181.5788735,189.6194957,178,193.2873954,181.89121,148,146,137.7377406,84.27890793
ENSMUSG00000032807,0,1,0,3,2,1,3,3,1,2
ENSMUSG00000032808,20,1,50,12,20,11,0,0,1,1
ENSMUSG00000032812,821.9994764,856.9999839,825.9998235,735.9993575,1104.993184,1089.625816,824.851358,564.9996908,677.9999697,669.9983808
ENSMUSG00000032815,63.00046478,11.61148875,131.3670906,34.30128916,24.45750667,42,16.84704535,18.17023272,15,15.37002283
ENSMUSG00000032816,54,87.8288808,46,70,91.52304852,72.0290788,79.95288659,54.62504032,72.389274,83.00184686
ENSMUSG00000032818,2,1,0,0,0,0,0,0,2.008368514,0
ENSMUSG00000032826,162.9746708,924.4476784,246.001646,803.1375492,1080.818184,524.9962814,753.018268,820.0235501,999.7692321,582.0154253
ENSMUSG00000032827,111.0064679,604.0450271,276.0163202,398.1361189,533.0902143,268.2709593,394.016655,458.0138298,520.0182463,362.0137505
ENSMUSG00000032834,180,174,182,131,203,187,134,115,144,128
ENSMUSG00000032839,31,306.6083696,57,221.1863195,303.2260458,173,265.4640781,279,346.2810095,273
ENSMUSG00000032840,142.0204051,281.2030304,216.0075286,285.2655069,362.1542265,254.0316754,248.005447,237.0922618,284.7664061,224.9899009
ENSMUSG00000032841,24,13,32.40727805,22,17,23,17.12860607,10,12,27
ENSMUSG00000032842,265.1519856,235.7508367,407,182,294.6297864,194,235.0131783,206,166.024903,202.7086997
ENSMUSG00000032845,7,6.818013009,0.406659471,3,3.45291795,16,1.239730595,0.136536732,4.517773739,4.000381379
ENSMUSG00000032846,138,129,140,119,131,65,85,98,97,114
ENSMUSG00000032849,151,419.0013045,101.0002717,337,525.0024657,350.0002686,373,378.0010672,454.0050997,330
ENSMUSG00000032850,14,107,29,88,160,86,88,103,79,76
ENSMUSG00000032852,23,237,72,217,417,302,257,187,254,156
ENSMUSG00000032854,3,27,16,21,30,24,19,22,8,15
ENSMUSG00000032855,616.1714991,2896.000062,765.2377808,1938.077132,2754,1268,2699.553653,2644.021832,2896.995884,2306.355618
ENSMUSG00000032860,17,10,20,20,16,11,23,8,9,10
ENSMUSG00000032864,0,0,0,0,0,2,0,0,0,0
ENSMUSG00000032867,475,844,786,698,1006,820,883,685,733,734
ENSMUSG00000032869,399,587.2978013,602.4318337,530.0348466,740.0001361,571,527.923392,432.073468,513.0002571,414.1297934
ENSMUSG00000032870,1363,2377,1008,1951,2850,2351,2097,1879,2111,1664
ENSMUSG00000032872,693.2150703,561.0553424,912.9349568,555.7722397,617.9734164,567.1419184,449.8614357,420.1621635,448.4714908,414.653866
ENSMUSG00000032875,132,2147,472,1449,2578,1653,1630,1619,1697,1217
ENSMUSG00000032878,17.62117811,36.42307303,3.000118054,11.60762136,33.24649082,9.224253034,31.11052081,35.58939097,35.15184241,28.00043811
ENSMUSG00000032883,173,144,354.6144195,142.6004732,213,165.6864656,96.65495534,105.722744,133,101.5315561
ENSMUSG00000032889,0,0,0,0,0,0,0,3.217932015,0,0
ENSMUSG00000032890,109,4866,408,1548,2220,1457,3559,3682,4363,4399
ENSMUSG00000032892,63,39,210,51,61.00134282,88,52,42.00560658,49,31
ENSMUSG00000032894,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000032897,589,682,848,593,693.6808973,646,773,644,713,662
ENSMUSG00000032898,172,1654,399,1154,1564,1045,1318,1155,1364,1034
ENSMUSG00000032899,506,49,897.9272931,161.2448687,134,178,32,19,35,9
ENSMUSG00000032900,0,0,0,0,0,0,3,1,0,0
ENSMUSG00000032902,869,63,1271,208,124,260,43,25,33,37
ENSMUSG00000032905,534.0524871,297.0169423,689,338,357,349.0350029,226.8624116,233,273.5287076,206.0162417
ENSMUSG00000032908,951,878,1540.901938,997.0414102,1249,899,726,769.6055602,772,590
ENSMUSG00000032911,6,43,7,27,66,28,43,51,48,41
ENSMUSG00000032913,202,335,263,319,292.0010873,210.0004433,236,237.0004534,303.0002456,229.0030626
ENSMUSG00000032915,25,30,5,26,24,38,10,7,15,16
ENSMUSG00000032921,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000032925,0,0,7,4,3,4,8,1,3,4
ENSMUSG00000032932,581,1588,789,1350,2334,1477,1282,1413,1452,1148
ENSMUSG00000032936,1,0,0,0,0,0,0,1,0,0
ENSMUSG00000032937,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000032939,255.0072096,599.0027568,469.5456045,518,873.0019598,580.0011471,699.0015184,580.9227456,504.9226652,475.0005906
ENSMUSG00000032940,3,22.79580952,5.005098829,23.01190952,18.60316078,19,19,10,28.02474267,16.43366669
ENSMUSG00000032942,0,0,0,0,0,2,1,0,0,0
ENSMUSG00000032946,406.0292086,198,30.00514856,151.5202271,153.0731259,246.0026174,86.01809912,81.58992002,93.03999224,168
ENSMUSG00000032948,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000032952,187.8431589,248,315,233,311,258,222,213,221,201
ENSMUSG00000032959,1333,2799,2365.296717,2430.327282,3431,3668.832426,2971,2264,2668,1931
ENSMUSG00000032965,84,705,188,746,1026,804,607,609,747,504
ENSMUSG00000032966,1605,2173,2375,2013,2651,2706,2151,1655,1775,1599
ENSMUSG00000032968,19,352,53,198,356,240,378,347,190,244
ENSMUSG00000032977,423,450,579,360,512,523,323,300,398,296
ENSMUSG00000032978,2571,164,3932,777,790,1087,102,25,69,18
ENSMUSG00000032985,1,4,1,0,5,3,7,2,1,3
ENSMUSG00000032987,1,1,1,1,1,1,0,0,1,0
ENSMUSG00000032988,0,0,1,1,0,0,0,1,0,0
ENSMUSG00000032997,212,1401,378,921,1789,1460,1336,1124,1106,868
ENSMUSG00000032998,631.0212247,842.7123349,765.0239042,808.0381586,987.0360318,591.0235374,638.034814,668.0177755,736.0292585,642.0092897
ENSMUSG00000032999,0,1,0,4,3,2,3,1,4,0
ENSMUSG00000033004,1205,1844,677,1520,1873,1078,1322,1466,2047,1324
ENSMUSG00000033006,4,24,3,5,5,8,6,16,17,8
ENSMUSG00000033007,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000033009,253,509,369,384,497,373,349,367,398,320
ENSMUSG00000033014,539,765,538,623,750,464,506,506,629,576
ENSMUSG00000033015,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033016,736,493,173,402,413,443,252,271,296,456
ENSMUSG00000033020,224.1147624,187.0009691,405,193.0005491,263.0782023,333,246,143.0115555,146.0146727,147
ENSMUSG00000033021,838,1400,1191,982,1872,1475,1546,1191,1140,1165
ENSMUSG00000033022,60,58,243,102,146,139,88,63,75,63
ENSMUSG00000033024,4,0,0,0,1,0,0,0,0,1
ENSMUSG00000033027,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000033029,17,104,17,62,98.90699581,87.9709212,67,66,53,68
ENSMUSG00000033031,202,54,267.2420494,72,70,78,31,55,52,30.7776837
ENSMUSG00000033032,65,67,178,74,94,98,80,65,63,50
ENSMUSG00000033033,77,63,18,58,59,126,31,31,40,55
ENSMUSG00000033036,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033039,457.4372562,522.5401704,425.4107026,491.0144845,598.041868,377.0121027,478.5756189,429.0190364,516.6019951,412.6032218
ENSMUSG00000033044,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033047,1535,1107,2283,1120,1393,1388,1144,901,1033,1062
ENSMUSG00000033053,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000033054,202,379,222,338,372,248,268,293,312,282
ENSMUSG00000033055,312.6861811,476.1425987,496,422.273786,614,624.7382334,412,347,364,379
ENSMUSG00000033059,561,345,532,324,343,425,249,183,208,238
ENSMUSG00000033060,1409,993,2269,992,1112,875,804,740,887,731
ENSMUSG00000033061,486,9404,2309,8010,12552,13269,10764,7513,9597,6377
ENSMUSG00000033063,0,3,0,1,1,0,0,0,0,0
ENSMUSG00000033065,177,679.6474237,278.5235054,587,818,703,661,553,675,467
ENSMUSG00000033066,150,187.0126648,30.00515287,113.0086147,150,173,175.0163408,100.0278639,78.00305131,114.0638592
ENSMUSG00000033068,280.018285,150,454,162,168.3813264,234.0005206,81.62867367,81,96,95
ENSMUSG00000033075,389.004337,384.0282128,423.080421,325.0301648,347.1423269,306.0235153,275.0090162,271.8147942,286.039176,274.0015338
ENSMUSG00000033080,2,0,0,0,0,1.000020417,0,0,0,2
ENSMUSG00000033082,24.00161541,47.01951102,16.00018254,24.00292856,56.00174564,37.00023747,48.01992154,42.38360287,50.00042515,38.29207329
ENSMUSG00000033083,376,391,177,258,260,176,237,264,276,248
ENSMUSG00000033088,620,488,844.4547424,471,530,495,427,351.1187406,351.1080991,374
ENSMUSG00000033096,319,431,573,400,520,499,407,392,439,332
ENSMUSG00000033099,149.0170643,238.0422317,205.4480798,213.0566236,317.7179372,327.1114044,250.1693377,191.0097808,197.1695241,159.0036655
ENSMUSG00000033102,360.3903184,475,490,394.4297145,503.339879,336.8954364,318,346,418.8260945,327
ENSMUSG00000033105,245,439.1620519,368.6745343,408,689,428,467.9117921,420,410,361
ENSMUSG00000033106,170,166.8216605,226.122591,158.2673989,170,167,171,104.2668307,101.2912333,145.5018913
ENSMUSG00000033107,208,42,232,80,72,23,33,27,26,54
ENSMUSG00000033111,216.9684004,293.4486155,267.6908632,311.694637,367.9833232,288.8193068,260.9523963,218.8232321,234.970095,210.3333222
ENSMUSG00000033114,127,52.41394405,129,46,60.71798272,71,39.10536164,24,48,37.02044685
